name,sku,category,length_cm,width_cm,height_cm,weight_kg,monthly_order_volume
Textbook 0001,BOO-0001,Books,26.0,22.5,4.9,1.46,94
Stuffed Animal 0002,TOY-0002,Toys,23.8,19.8,18.6,0.67,113
Picture Frame 0003,FRA-0003,Fragile,28.6,25.2,3.7,1.35,85
Action Figure 0004,TOY-0004,Toys,16.7,13.1,5.0,0.3,168
Mouse 0005,ELE-0005,Electronics,13.9,6.8,3.7,0.14,178
Board Game 0006,TOY-0006,Toys,28.6,26.9,6.6,0.71,99
Headphones 0007,ELE-0007,Electronics,18.8,15.7,9.0,0.43,103
Jeans 0008,CLO-0008,Clothing,36.3,26.4,5.6,0.74,1159
USB Cable 0009,ELE-0009,Electronics,23.5,10.1,2.2,0.14,117
Textbook 0010,BOO-0010,Books,33.0,21.4,5.0,2.34,108
Puzzle 0011,TOY-0011,Toys,36.2,27.6,4.4,0.8,86
Paperback Book 0012,BOO-0012,Books,18.6,15.3,2.9,0.57,41
Laptop 0013,ELE-0013,Electronics,33.7,20.6,2.5,2.24,47
Mouse 0014,ELE-0014,Electronics,10.9,7.7,4.3,0.11,52
Shoes 0015,CLO-0015,Clothing,33.6,18.6,12.2,0.64,41
Puzzle 0016,TOY-0016,Toys,38.5,26.0,4.6,0.51,54
Ceramic Mug 0017,FRA-0017,Fragile,13.4,11.6,11.2,0.38,111
Magazine 0018,BOO-0018,Books,34.8,24.0,0.7,0.27,100
USB Cable 0019,ELE-0019,Electronics,20.2,11.9,3.1,0.11,120
Laptop 0020,ELE-0020,Electronics,34.6,23.9,4.2,2.62,56
Phone Case 0021,ELE-0021,Electronics,19.6,8.6,1.9,0.11,41
Headphones 0022,ELE-0022,Electronics,24.8,17.8,9.5,0.28,82
Webcam 0023,ELE-0023,Electronics,9.5,7.2,5.7,0.24,120
T-Shirt 0024,CLO-0024,Clothing,31.0,21.7,2.7,0.24,113
Webcam 0025,ELE-0025,Electronics,9.4,7.6,8.0,0.38,92
Phone Case 0026,ELE-0026,Electronics,15.7,9.9,1.0,0.11,232
Board Game 0027,TOY-0027,Toys,36.7,30.7,6.9,1.38,87
Keyboard 0028,ELE-0028,Electronics,42.8,14.4,2.5,0.92,192
Action Figure 0029,TOY-0029,Toys,20.9,16.4,7.3,0.14,115
Ceramic Mug 0030,FRA-0030,Fragile,12.8,14.7,10.9,0.36,182
Jeans 0031,CLO-0031,Clothing,38.0,30.6,5.2,0.72,94
